transaction_date,transaction_year,ticker,asset_description,type,amount_low,amount_high,amount_avg,representative,district,state,cap_gains_over_200_usd,industry,sector,party,ticker_price,qqq_price
11/17/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Robert J. Wittman,VA01,VA,FALSE,Computer Manufacturing,Technology,Republican,150.72,284.809998
11/15/22,2022,TXN,Texas Instruments Incorporated,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Semiconductors,Technology,Republican,177.57,289.390015
11/14/22,2022,FLYW,Flywire Corporation - Voting,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,22.47,285.440002
11/11/22,2022,TXN,Texas Instruments Incorporated,purchase,15001,50000,32501,Carol Devine Miller,WV03,WV,FALSE,Semiconductors,Technology,Republican,179.49,287.959991
11/10/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Ed Perlmutter,CO07,CO,FALSE,Computer Manufacturing,Technology,Democrat,146.87,282.75
11/9/22,2022,NOW,ServiceNow Inc,purchase,1001,15000,8001,William R. Keating,MA09,MA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,361.27,263.320007
11/8/22,2022,MSFT,Microsoft Corporation,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,228.87,269.540009
11/8/22,2022,TXN,Texas Instruments Inc,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Semiconductors,Technology,Democrat,228.87,269.540009
11/8/22,2022,AVGO,Broadcom Inc,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Semiconductors,Technology,Democrat,228.87,269.540009
11/7/22,2022,NTAP,NetApp Inc Stock,purchase,15001,50000,32501,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,69.39,267.589996
11/7/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,69.39,267.589996
11/7/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,69.39,267.589996
11/2/22,2022,IBM,International Business Machines Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Manufacturing,Technology,Democrat,136.83,265.679993
11/1/22,2022,SQ,Block Inc Class A Common Stock,purchase,50001,100000,75001,James R. Langevin,RI02,RI,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,59,275.109985
10/28/22,2022,AAPL,Apple Inc,purchase,15001,50000,32501,Earl Blumenauer,OR03,OR,FALSE,Computer Manufacturing,Technology,Democrat,155.74,281.220001
10/25/22,2022,GOOG,Alphabet Inc - Class C Capital Stock,purchase,1001,15000,8001,Dan Crenshaw,TX02,TX,FALSE,"Computer Software: Programming, Data Processing",Technology,Republican,104.93,284.209991
10/25/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Dan Crenshaw,TX02,TX,FALSE,Computer Manufacturing,Technology,Republican,104.93,284.209991
